CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,16/01/2023,180,288,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,16/01/2023,400,340,0.85
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,16/01/2023,750,690,0.92
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,16/01/2023,203,324.80,1.60
,PASTEL BLOCK,COLEÇÃO 2023,2023,HOT,HOT STAMPING,16/01/2023,180,330,1.83
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/03/2023,230,460,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,02/03/2023,550,460,0.84
,COLEÇÃO 2023,COLEÇÃO 2023,ONÇA,LAMINAÇÃO,LAM. FOSCA FR,13/03/2023,135,216,1.60
,FRESCOR 2023,FRESCOR 2023,POCKET,LAMINAÇÃO,LAM. HIGH TECH,13/03/2023,65,360,5.54
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,13/03/2023,23,82.80,3.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,13/03/2023,16,57.60,3.60
,COLEÇÃO 2023,COLEÇÃO 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,21/03/2023,37,59.20,1.60
,FRESCOR 2023,FRESCOR 2023,CAIXA,LAMINAÇÃO,LAM. FOSCA FR,21/03/2023,14,22.40,1.60
,FRESCOR 2023,FRESCOR 2023,CAIXA,LAMINAÇÃO,LAM. FOSCA FR,21/03/2023,75,120,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,21/03/2023,130,208,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,11,17.60,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,04/04/2023,120,360,3
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,04/04/2023,160,360,2.25
,BEBE,ALBUM DO BEBÊ,CAIXA,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,14,22.40,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,600,340,0.57
