CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7899866827325,7325,Calendario de Parede A3 Ciceros 2025 Ateliê,ATELIE,Lançamento,2730
7899866827332,7332,Calendario de Parede A3 Ciceros 2025 Kraft,KRAFT,Lançamento,2100
7899866818620,8620,Ficha Pautada Caderno Criativo 50 FLS Offset 180g,REFIL,Ativo,2030
7899866820951,0951,Planner Permamente Ciceros Caderneta Clássica 14x21 Preto,CLASSICA,Ativo,810
7899866827349,7349,Planner Permanente Ciceros Caderneta Astral 14x21 Eclipse Caramelo,ASTRAL,Lançamento,740
7899866827363,7363,Planner Permanente Ciceros Caderneta Ateliê 14x21 Preto,ATELIE,Lançamento,800
7899866827370,7370,Planner Permanente Ciceros Caderneta Melissa 14x21 Casa das Abelhas Rosê,MELISSA,Lançamento,770
7899866827387,7387,Planner Permanente Ciceros Caderneta Kraft 14x21 Flores Mini,KRAFT,Lançamento,635
7899866827394,7394,Planner Permanente Ciceros Caderneta Bossa Nova 14x21 Pontos Azul,BOSSA NOVA,Lançamento,520
7899866827400,7400,Planner Permanente Ciceros Caderneta Pólen 14x21 Aromas Off White,POLEN,Lançamento,755
7899866807198,7198,Planner Permanente Revista Clássica Mensal Planejamento 19x25 Preta,CLASSICA,Ativo,1210
7899866807204,7204,Planner Permanente Revista Clássica Mensal Planejamento 19x25 Vermelha,CLASSICA,Ativo,905
7899866821132,1132,Planner Permanente Revista Planejamento Clássica Mensal19x25 Caramelo,CLASSICA,Ativo,695
7899866827417,7417,Planner Permanente Revista Planejamento Ateliê Mensal 19x25 Off White,ATELIE,Lançamento,840
7899866823921,3921,Planner Permanente Revista Planejamento Kraft Mensal 19x25 Linha e Ponto,KRAFT,Ativo,535
7899866818149,8149,Planner Permanente Revista Planejamento Minerais Mensal 19x25 Mármore Branco,MINERAIS,Ultimas Unidades,550
7899866827424,7424,Planner Permanente Revista Planejamento Bossa Nova Mensal 19x25 Boemia,BOSSA NOVA,Lançamento,590
7899866827431,7431,Planner Permanente Revista Planejamento Ateliê Mensal 19x25 Preto,ATELIE,Lançamento,620
7899866827448,7448,Planner Permanente Wire-o Astral Semanal Notas A5 Maré Off White,ASTRAL,Lançamento,2050
7899866825574,5574,Planner Permanente Wire-o Bossa Nova Semanal Notas A5 Boemia,BOSSA NOVA,Ativo,1310
7899866822405,2405,Planner Permanente Wire-o Clássica Financeiro A5 Caramelo,CLASSICA,Ativo,1180
7899866822399,2399,Planner Permanente Wire-o Clássica Financeiro A5 Preta,CLASSICA,Ativo,1000
7899866808973,8973,Planner Permanente Wire-o Clássica Semanal Notas A5 Preto,CLASSICA,Ativo,1865
7899866818866,8866,Planner Permanente Wire-o Clássica Semanal Notas A5 Café,CLASSICA,Ativo,1790
